"","id","trial","cond_lag","count_lag","graph_order","pooled_order","hr","rating"
"461",5,6,"CS",1,4,4,11.6521666666667,85
"462",5,7,"CS",2,3,3,5.01441666666667,92
"463",5,8,"CS-US",1,5,1,-9.467,26
"464",5,9,"CS-US",2,6,2,7.22283333333333,21
"465",5,10,"CS",1,4,4,0.696583333333335,63
"466",5,11,"CS-US",1,5,1,1.89804166666667,33
"467",5,12,"CS",1,4,4,-0.31695833333333,27
"468",5,13,"CS-US",1,5,1,-8.99041666666667,33
"469",5,14,"CS-US",2,6,2,-17.2362083333333,34
"470",5,15,"CS",1,4,4,-7.421125,62
"471",5,16,"CS",2,3,3,-10.0850833333333,62
"472",5,17,"CS",3,2,2,-2.91879166666667,78
"473",5,18,"CS",4,1,1,3.95704166666667,85
"474",5,19,"CS-US",1,5,1,-4.81158333333333,40
"475",5,20,"CS",1,4,4,3.127375,59
"476",5,21,"CS",2,3,3,3.69395833333333,56
"477",5,22,"CS",3,2,2,-9.11283333333334,60
"478",5,23,"CS-US",1,5,1,-3.98833333333334,56
"479",5,24,"CS",1,4,4,6.69295833333333,56
"480",5,25,"CS-US",1,5,1,-13.8415416666667,45
"481",5,26,"CS-US",2,6,2,9.896875,39
"482",5,27,"CS-US",3,7,3,-2.50133333333334,33
"483",5,28,"CS",1,4,4,-2.67375,55
"484",5,29,"CS-US",1,5,1,8.78333333333333,59
"485",5,30,"CS-US",2,6,2,2.54270833333333,34
"486",5,31,"CS-US",3,7,3,-3.57016666666667,35
"487",5,32,"CS",1,4,4,5.00245833333333,56
"488",5,33,"CS-US",1,5,1,-8.342375,36
"489",5,34,"CS",1,4,4,7.28283333333334,63
"490",5,35,"CS-US",1,5,1,5.78104166666667,63
"491",5,36,"CS-US",2,6,2,6.87166666666667,57
"492",5,37,"CS",1,4,4,-2.72408333333333,43
"493",5,38,"CS",2,3,3,6.99083333333333,63
"494",5,39,"CS-US",1,5,1,-9.36666666666667,56
